word,region,counts
students,South,7925
financial,South,6768
course,South,6161
personal,South,4638
skills,South,3092
economic,South,2481
credit,South,2462
finance,South,2234
understand,South,2157
knowledge,South,1612
management,South,1529
decisions,South,1473
concepts,South,1468
money,South,1442
use,South,1432
career,South,1412
literacy,South,1340
provide,South,1338
planning,South,1334
economics,South,1291
designed,South,1253
learn,South,1214
apply,South,1210
include,South,1169
basic,South,1131
study,South,1074
make,South,1006
develop,South,910
business,South,840
consumer,South,821
mathematics,South,819
informed,South,756
investing,South,746
content,South,702
analyze,South,694
banking,South,673
insurance,South,656
budgeting,South,635
American,South,627
education,South,620
algebra,South,612
responsible,South,609
principles,South,603
related,South,587
based,South,559
taxes,South,558
necessary,South,554
financially,South,549
critical-thinking,South,541
college,South,535
students,West,4441
course,West,3673
financial,West,3265
personal,West,2395
skills,West,1728
credit,West,1630
finance,West,1540
understand,West,1312
include,West,1305
topics,West,1179
learn,West,1161
mathematics,West,1112
use,West,957
business,West,930
management,West,850
make,West,841
economic,West,839
money,West,801
planning,West,762
life,West,681
banking,West,676
income,West,668
career,West,665
insurance,West,635
designed,West,633
concepts,West,619
consumer,West,583
basic,West,581
class,West,577
manage,West,538
taxes,West,537
you,West,532
provide,West,486
budgeting,West,484
your,West,476
investing,West,468
apply,West,451
mathematical,West,432
study,West,432
help,West,429
literacy,West,427
college,West,409
high,West,405
world,West,404
decisions,West,396
knowledge,West,389
develop,West,374
Algebra,West,368
prepare,West,368
real,West,352
students,Northeast,6463
course,Northeast,5002
financial,Northeast,4610
personal,Northeast,3317
credit,Northeast,2293
skills,Northeast,1846
topics,Northeast,1799
include,Northeast,1598
learn,Northeast,1430
management,Northeast,1286
understand,Northeast,1211
use,Northeast,1208
money,Northeast,1167
make,Northeast,1165
business,Northeast,1156
career,Northeast,1066
finance,Northeast,1061
designed,Northeast,1024
manage,Northeast,1005
banking,Northeast,938
planning,Northeast,885
economic,Northeast,799
you,Northeast,797
basic,Northeast,748
develop,Northeast,748
your,Northeast,733
insurance,Northeast,717
consumer,Northeast,689
budgeting,Northeast,686
knowledge,Northeast,679
help,Northeast,659
decisions,Northeast,656
taxes,Northeast,618
life,Northeast,588
explore,Northeast,579
college,Northeast,574
concepts,Northeast,569
student,Northeast,542
study,Northeast,541
through,Northeast,515
world,Northeast,496
income,Northeast,495
provide,Northeast,493
prepare,Northeast,492
class,Northeast,491
math,Northeast,489
investing,Northeast,483
well,Northeast,472
have,Northeast,456
savings,Northeast,449
students,Midwest,8917
course,Midwest,7000
financial,Midwest,6956
personal,Midwest,5958
skills,Midwest,3822
credit,Midwest,3468
include,Midwest,2984
topics,Midwest,2606
management,Midwest,2433
business,Midwest,2173
insurance,Midwest,2096
understand,Midwest,2082
make,Midwest,1956
career,Midwest,1929
finance,Midwest,1918
consumer,Midwest,1916
learn,Midwest,1744
money,Midwest,1675
economic,Midwest,1363
designed,Midwest,1314
life,Midwest,1304
class,Midwest,1249
budgeting,Midwest,1240
develop,Midwest,1227
use,Midwest,1226
you,Midwest,1197
your,Midwest,1176
basic,Midwest,1114
help,Midwest,1098
study,Midwest,1080
decisions,Midwest,1050
such,Midwest,1038
knowledge,Midwest,1019
managing,Midwest,973
banking,Midwest,949
concepts,Midwest,927
taxes,Midwest,909
saving,Midwest,886
investing,Midwest,865
provide,Midwest,825
family,Midwest,773
student,Midwest,745
prepare,Midwest,736
principles,Midwest,721
choices,Midwest,710
future,Midwest,672
high,Midwest,670
world,Midwest,664
our,Midwest,660
income,Midwest,658
